No,Module,Area,Method,Path,Protocol,HTTP,Purpose,Page,UIBinding,IntegrationClass,HookOrClient,Permission,Invalidation,RequiredBeforeDone,TestEvidence,InitialStatus,GapOrException
11,AI Assistant,Messages & Streaming,POST,/api/v1/ai-assistant/messages/{messageId}/cancel,REST,200,Yêu cầu cancel stream đang chạy,W5-AIA-02,StopGeneratingButton,UI_ACTION,useYUCUCancelStreamMutation,AI_ASSISTANT_USE,"conversation messages, conversation summary",YES,E2E-W5-API-011,MAPPED,—
12,AI Assistant,Contextual Guide,GET,/api/v1/ai-assistant/guides/suggested-questions,REST,200,Lấy danh sách suggested questions cho một page,W5-AIA-03,SuggestedQuestionChips,UI_READ,useLYDanhSChSuggestedQuery,AI_ASSISTANT_USE,None,YES,E2E-W5-API-012,MAPPED,—
13,AI Assistant,Contextual Guide,POST,/api/v1/ai-assistant/guides/explain-page,REST → SSE,202,Giải thích page cho user → stream qua SSE,W5-AIA-03,ExplainPageAction,UI_ACTION,useGiIThChPageChoMutation,AI_ASSISTANT_USE,guide stream state,YES,E2E-W5-API-013,MAPPED,—
14,AI Assistant,Contextual Guide,POST,/api/v1/ai-assistant/guides/explain-field,REST → SSE,202,Giải thích một field trong form → stream qua SSE,W5-AIA-03,FieldHelpButton / ExplainFieldPopover,UI_ACTION,useGiIThChMTMutation,AI_ASSISTANT_USE,guide stream state,YES,E2E-W5-API-014,MAPPED,—
15,AI Assistant,Contextual Guide,POST,/api/v1/ai-assistant/guides/explain-disabled-action,REST → SSE,202,Giải thích tại sao một action bị disabled → stream qua SSE,W5-AIA-03,DisabledActionExplanation,UI_ACTION,useGiIThChTIMutation,AI_ASSISTANT_USE,guide stream state,YES,E2E-W5-API-015,MAPPED,—
16,AI Assistant,Feedback,POST,/api/v1/ai-assistant/feedbacks,REST,201,Gửi feedback cho một message,W5-AIA-02 / W5-AIA-04,MessageFeedbackActions / FeedbackDialog,UI_ACTION,useGIFeedbackChoMTMutation,AI_ASSISTANT_FEEDBACK_CREATE,message feedback state,YES,E2E-W5-API-016,MAPPED,—
17,AI Agent Admin,Providers,POST,/api/ai-agent/providers,REST,201,Tạo AI provider mới,W5-ADM-02,ProviderListPage / ProviderDetailDrawer,UI_ACTION,useTOAIProviderMIMutation,AI_AGENT_CONFIG_MANAGE,"providers list/detail, dependent options",YES,E2E-W5-API-017,MAPPED,—
18,AI Agent Admin,Providers,PUT,/api/ai-agent/providers/{id},REST,200,Cập nhật provider,W5-ADM-02,ProviderListPage / ProviderDetailDrawer,UI_ACTION,useCPNhTProviderMutation,AI_AGENT_CONFIG_MANAGE,"providers list/detail, dependent options",YES,E2E-W5-API-018,MAPPED,—
19,AI Agent Admin,Providers,GET,/api/ai-agent/providers/{id},REST,200,Lấy chi tiết provider,W5-ADM-02,ProviderListPage / ProviderDetailDrawer,UI_READ,useLYChiTiTProviderQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-019,MAPPED,—
20,AI Agent Admin,Providers,GET,/api/ai-agent/providers,REST,200,Tìm kiếm / danh sách providers (paginated),W5-ADM-02,ProviderListPage / ProviderDetailDrawer,UI_READ,useTMKiMDanhSQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-020,MAPPED,—
21,AI Agent Admin,Providers,PATCH,/api/ai-agent/providers/{id}/activate,REST,200,Activate provider,W5-ADM-02,ProviderListPage / ProviderDetailDrawer,UI_ACTION,useActivateProviderMutation,AI_AGENT_CONFIG_MANAGE,"providers list/detail, dependent options",YES,E2E-W5-API-021,MAPPED,—
22,AI Agent Admin,Providers,PATCH,/api/ai-agent/providers/{id}/deactivate,REST,200,Deactivate provider,W5-ADM-02,ProviderListPage / ProviderDetailDrawer,UI_ACTION,useDeactivateProviderMutation,AI_AGENT_CONFIG_MANAGE,"providers list/detail, dependent options",YES,E2E-W5-API-022,MAPPED,—
23,AI Agent Admin,Provider Secrets,POST,/api/ai-agent/provider-secrets,REST,200,Lưu / cập nhật API key (deactivate key cũ tự động),W5-ADM-03,SaveProviderSecretDialog,UI_ACTION,useLUCPNhTMutation,AI_PROVIDER_SECRET_MANAGE,provider secrets list/detail,YES,E2E-W5-API-023,MAPPED,—
24,AI Agent Admin,Provider Secrets,PUT,/api/ai-agent/provider-secrets/{id}/rotate,REST,200,"Rotate secret (tạo record mới, deactivate cũ)",W5-ADM-03,RotateProviderSecretDialog,UI_ACTION,useRotateSecretTORecordMMutation,AI_PROVIDER_SECRET_MANAGE,provider secrets list/detail,YES,E2E-W5-API-024,MAPPED,—
25,AI Agent Admin,Provider Secrets,PATCH,/api/ai-agent/provider-secrets/{id}/deactivate,REST,200,Deactivate secret,W5-ADM-03,DeactivateSecretDialog,UI_ACTION,useDeactivateSecretMutation,AI_PROVIDER_SECRET_MANAGE,provider secrets list/detail,YES,E2E-W5-API-025,MAPPED,—
26,AI Agent Admin,Provider Secrets,GET,/api/ai-agent/provider-secrets/{id},REST,200,Lấy chi tiết (chỉ masked value),W5-ADM-03,ProviderSecretDetailDrawer,UI_READ,useLYChiTiTChQuery,AI_PROVIDER_SECRET_VIEW,None,YES,E2E-W5-API-026,MAPPED,—
27,AI Agent Admin,Provider Secrets,GET,/api/ai-agent/provider-secrets,REST,200,Tìm kiếm secrets (paginated),W5-ADM-03,ProviderSecretTable,UI_READ,useTMKiMSecretsPaginatedQuery,AI_PROVIDER_SECRET_VIEW,None,YES,E2E-W5-API-027,MAPPED,—
28,AI Agent Admin,Models,POST,/api/ai-agent/models,REST,201,Tạo AI model mới,W5-ADM-04,ModelCatalogPage / ModelEditorDrawer,UI_ACTION,useTOAIModelMIMutation,AI_AGENT_CONFIG_MANAGE,"models list/detail, deployment options",YES,E2E-W5-API-028,MAPPED,—
29,AI Agent Admin,Models,PUT,/api/ai-agent/models/{id},REST,200,Cập nhật model,W5-ADM-04,ModelCatalogPage / ModelEditorDrawer,UI_ACTION,useCPNhTModelMutation,AI_AGENT_CONFIG_MANAGE,"models list/detail, deployment options",YES,E2E-W5-API-029,MAPPED,—
30,AI Agent Admin,Models,GET,/api/ai-agent/models/{id},REST,200,Chi tiết model,W5-ADM-04,ModelCatalogPage / ModelEditorDrawer,UI_READ,useChiTiTModelQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-030,MAPPED,—
31,AI Agent Admin,Models,GET,/api/ai-agent/models,REST,200,Tìm kiếm models (paginated),W5-ADM-04,ModelCatalogPage / ModelEditorDrawer,UI_READ,useTMKiMModelsPaginatedQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-031,MAPPED,—
32,AI Agent Admin,Models,PATCH,/api/ai-agent/models/{id}/activate,REST,200,Activate,W5-ADM-04,ModelCatalogPage / ModelEditorDrawer,UI_ACTION,useActivateMutation,AI_AGENT_CONFIG_MANAGE,"models list/detail, deployment options",YES,E2E-W5-API-032,MAPPED,—
33,AI Agent Admin,Models,PATCH,/api/ai-agent/models/{id}/deactivate,REST,200,Deactivate,W5-ADM-04,ModelCatalogPage / ModelEditorDrawer,UI_ACTION,useDeactivateMutation,AI_AGENT_CONFIG_MANAGE,"models list/detail, deployment options",YES,E2E-W5-API-033,MAPPED,—
34,AI Agent Admin,Model Deployments,POST,/api/ai-agent/model-deployments,REST,201,Tạo deployment,W5-ADM-05,ModelDeploymentPage / DeploymentEditorDrawer,UI_ACTION,useTODeploymentMutation,AI_AGENT_CONFIG_MANAGE,"deployments list/detail/defaults, agent options",YES,E2E-W5-API-034,MAPPED,—
35,AI Agent Admin,Model Deployments,PUT,/api/ai-agent/model-deployments/{id},REST,200,Cập nhật deployment,W5-ADM-05,ModelDeploymentPage / DeploymentEditorDrawer,UI_ACTION,useCPNhTDeploymentMutation,AI_AGENT_CONFIG_MANAGE,"deployments list/detail/defaults, agent options",YES,E2E-W5-API-035,MAPPED,—
36,AI Agent Admin,Model Deployments,GET,/api/ai-agent/model-deployments/{id},REST,200,Chi tiết deployment,W5-ADM-05,ModelDeploymentPage / DeploymentEditorDrawer,UI_READ,useChiTiTDeploymentQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-036,MAPPED,—
37,AI Agent Admin,Model Deployments,GET,/api/ai-agent/model-deployments,REST,200,Tìm kiếm deployments (paginated),W5-ADM-05,ModelDeploymentPage / DeploymentEditorDrawer,UI_READ,useTMKiMDeploymentsPaginatedQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-037,MAPPED,—
38,AI Agent Admin,Model Deployments,PATCH,/api/ai-agent/model-deployments/{id}/activate,REST,200,Activate,W5-ADM-05,ModelDeploymentPage / DeploymentEditorDrawer,UI_ACTION,useActivateMutation,AI_AGENT_CONFIG_MANAGE,"deployments list/detail/defaults, agent options",YES,E2E-W5-API-038,MAPPED,—
39,AI Agent Admin,Model Deployments,PATCH,/api/ai-agent/model-deployments/{id}/deactivate,REST,200,Deactivate,W5-ADM-05,ModelDeploymentPage / DeploymentEditorDrawer,UI_ACTION,useDeactivateMutation,AI_AGENT_CONFIG_MANAGE,"deployments list/detail/defaults, agent options",YES,E2E-W5-API-039,MAPPED,—
40,AI Agent Admin,Model Deployments,PATCH,/api/ai-agent/model-deployments/{id}/set-default,REST,200,Đặt làm default cho model+environment,W5-ADM-05,SetDefaultDeploymentDialog,UI_ACTION,useTLMDefaultChoModelMutation,AI_AGENT_CONFIG_MANAGE,"deployments list/detail/defaults, agent options",YES,E2E-W5-API-040,MAPPED,—
41,AI Agent Admin,Parameter Capabilities,POST,/api/ai-agent/model-parameter-capabilities,REST,201,Thêm capability,W5-ADM-06,ParameterCapabilityMatrix / CapabilityEditorDialog,UI_ACTION,useThMCapabilityMutation,AI_AGENT_CONFIG_MANAGE,"parameter capabilities list/detail, model form schema",YES,E2E-W5-API-041,MAPPED,—
42,AI Agent Admin,Parameter Capabilities,PUT,/api/ai-agent/model-parameter-capabilities/{id},REST,200,Cập nhật,W5-ADM-06,ParameterCapabilityMatrix / CapabilityEditorDialog,UI_ACTION,useCPNhTMutation,AI_AGENT_CONFIG_MANAGE,"parameter capabilities list/detail, model form schema",YES,E2E-W5-API-042,MAPPED,—
43,AI Agent Admin,Parameter Capabilities,GET,/api/ai-agent/model-parameter-capabilities/{id},REST,200,Chi tiết,W5-ADM-06,ParameterCapabilityMatrix / CapabilityEditorDialog,UI_READ,useChiTiTQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-043,MAPPED,—
44,AI Agent Admin,Parameter Capabilities,GET,/api/ai-agent/model-parameter-capabilities,REST,200,Tìm kiếm (paginated),W5-ADM-06,ParameterCapabilityMatrix / CapabilityEditorDialog,UI_READ,useTMKiMPaginatedQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-044,MAPPED,—
45,AI Agent Admin,Parameter Capabilities,PATCH,/api/ai-agent/model-parameter-capabilities/{id}/activate,REST,200,Activate,W5-ADM-06,ParameterCapabilityMatrix / CapabilityEditorDialog,UI_ACTION,useActivateMutation,AI_AGENT_CONFIG_MANAGE,"parameter capabilities list/detail, model form schema",YES,E2E-W5-API-045,MAPPED,—
46,AI Agent Admin,Parameter Capabilities,PATCH,/api/ai-agent/model-parameter-capabilities/{id}/deactivate,REST,200,Deactivate,W5-ADM-06,ParameterCapabilityMatrix / CapabilityEditorDialog,UI_ACTION,useDeactivateMutation,AI_AGENT_CONFIG_MANAGE,"parameter capabilities list/detail, model form schema",YES,E2E-W5-API-046,MAPPED,—
47,AI Agent Admin,Agents,POST,/api/ai-agent/agents,REST,201,Tạo agent,W5-ADM-07,AgentRegistryPage / AgentEditorDrawer,UI_ACTION,useTOAgentMutation,AI_AGENT_CONFIG_MANAGE,"agents list/detail, prompt/playground options",YES,E2E-W5-API-047,MAPPED,—
48,AI Agent Admin,Agents,PUT,/api/ai-agent/agents/{id},REST,200,Cập nhật,W5-ADM-07,AgentRegistryPage / AgentEditorDrawer,UI_ACTION,useCPNhTMutation,AI_AGENT_CONFIG_MANAGE,"agents list/detail, prompt/playground options",YES,E2E-W5-API-048,MAPPED,—
49,AI Agent Admin,Agents,GET,/api/ai-agent/agents/{id},REST,200,Chi tiết,W5-ADM-07,AgentRegistryPage / AgentEditorDrawer,UI_READ,useChiTiTQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-049,MAPPED,—
50,AI Agent Admin,Agents,GET,/api/ai-agent/agents,REST,200,Tìm kiếm (paginated),W5-ADM-07,AgentRegistryPage / AgentEditorDrawer,UI_READ,useTMKiMPaginatedQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-050,MAPPED,—
51,AI Agent Admin,Agents,PATCH,/api/ai-agent/agents/{id}/activate,REST,200,Activate,W5-ADM-07,AgentRegistryPage / AgentEditorDrawer,UI_ACTION,useActivateMutation,AI_AGENT_CONFIG_MANAGE,"agents list/detail, prompt/playground options",YES,E2E-W5-API-051,MAPPED,—
52,AI Agent Admin,Agents,PATCH,/api/ai-agent/agents/{id}/deactivate,REST,200,Deactivate,W5-ADM-07,AgentRegistryPage / AgentEditorDrawer,UI_ACTION,useDeactivateMutation,AI_AGENT_CONFIG_MANAGE,"agents list/detail, prompt/playground options",YES,E2E-W5-API-052,MAPPED,—
53,AI Agent Admin,Prompt Templates,POST,/api/ai-agent/prompt-templates,REST,201,Tạo template,W5-ADM-08,PromptTemplateLibrary / PromptTemplateDrawer,UI_ACTION,useTOTemplateMutation,AI_AGENT_CONFIG_MANAGE,"prompt templates list/detail, prompt options",YES,E2E-W5-API-053,MAPPED,—
54,AI Agent Admin,Prompt Templates,PUT,/api/ai-agent/prompt-templates/{id},REST,200,Cập nhật tên/mô tả,W5-ADM-08,PromptTemplateLibrary / PromptTemplateDrawer,UI_ACTION,useCPNhTTNMutation,AI_AGENT_CONFIG_MANAGE,"prompt templates list/detail, prompt options",YES,E2E-W5-API-054,MAPPED,—
55,AI Agent Admin,Prompt Templates,GET,/api/ai-agent/prompt-templates/{id},REST,200,Chi tiết,W5-ADM-08,PromptTemplateLibrary / PromptTemplateDrawer,UI_READ,useChiTiTQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-055,MAPPED,—
56,AI Agent Admin,Prompt Templates,GET,/api/ai-agent/prompt-templates,REST,200,Tìm kiếm (paginated),W5-ADM-08,PromptTemplateLibrary / PromptTemplateDrawer,UI_READ,useTMKiMPaginatedQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-056,MAPPED,—
57,AI Agent Admin,Prompt Templates,PATCH,/api/ai-agent/prompt-templates/{id}/activate,REST,200,Activate,W5-ADM-08,PromptTemplateLibrary / PromptTemplateDrawer,UI_ACTION,useActivateMutation,AI_AGENT_CONFIG_MANAGE,"prompt templates list/detail, prompt options",YES,E2E-W5-API-057,MAPPED,—
58,AI Agent Admin,Prompt Templates,PATCH,/api/ai-agent/prompt-templates/{id}/deactivate,REST,200,Deactivate,W5-ADM-08,PromptTemplateLibrary / PromptTemplateDrawer,UI_ACTION,useDeactivateMutation,AI_AGENT_CONFIG_MANAGE,"prompt templates list/detail, prompt options",YES,E2E-W5-API-058,MAPPED,—
59,AI Agent Admin,Prompt Versions,POST,/api/ai-agent/prompt-versions,REST,201,Tạo version mới (status = `DRAFT`),W5-ADM-09,CreatePromptVersionDialog,UI_ACTION,useTOVersionMIStatusMutation,AI_AGENT_CONFIG_MANAGE,"prompt versions list/detail/active version, playground options",YES,E2E-W5-API-059,MAPPED,—
60,AI Agent Admin,Prompt Versions,PUT,/api/ai-agent/prompt-versions/{id},REST,200,Cập nhật (chỉ khi đang `DRAFT`),W5-ADM-09,PromptVersionEditor,UI_ACTION,useCPNhTChKhiMutation,AI_AGENT_CONFIG_MANAGE,"prompt versions list/detail/active version, playground options",YES,E2E-W5-API-060,MAPPED,—
61,AI Agent Admin,Prompt Versions,GET,/api/ai-agent/prompt-versions/{id},REST,200,Chi tiết,W5-ADM-09,PromptVersionViewer,UI_READ,useChiTiTQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-061,MAPPED,—
62,AI Agent Admin,Prompt Versions,GET,/api/ai-agent/prompt-versions,REST,200,Tìm kiếm (paginated),W5-ADM-09,PromptVersionHistory,UI_READ,useTMKiMPaginatedQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-062,MAPPED,—
63,AI Agent Admin,Prompt Versions,PATCH,/api/ai-agent/prompt-versions/{id}/activate,REST,200,Activate (archives version `ACTIVE` hiện tại),W5-ADM-09,ActivatePromptVersionDialog,UI_ACTION,useActivateArchivesVersionACTIVEHiNMutation,AI_AGENT_CONFIG_MANAGE,"prompt versions list/detail/active version, playground options",YES,E2E-W5-API-063,MAPPED,—
64,AI Agent Admin,Prompt Versions,PATCH,/api/ai-agent/prompt-versions/{id}/archive,REST,200,Archive version,W5-ADM-09,ArchivePromptVersionDialog,UI_ACTION,useArchiveVersionMutation,AI_AGENT_CONFIG_MANAGE,"prompt versions list/detail/active version, playground options",YES,E2E-W5-API-064,MAPPED,—
65,AI Agent Admin,Event Configurations,POST,/api/ai-agent/event-configs,REST,201,Tạo event config,W5-ADM-10,EventConfigurationPage / EventConfigEditor,UI_ACTION,useTOEventConfigMutation,AI_AGENT_CONFIG_MANAGE,event configs list/detail/resolve/options,YES,E2E-W5-API-065,MAPPED,—
66,AI Agent Admin,Event Configurations,PUT,/api/ai-agent/event-configs/{id},REST,200,Cập nhật,W5-ADM-10,EventConfigurationPage / EventConfigEditor,UI_ACTION,useCPNhTMutation,AI_AGENT_CONFIG_MANAGE,event configs list/detail/resolve/options,YES,E2E-W5-API-066,MAPPED,—
67,AI Agent Admin,Event Configurations,GET,/api/ai-agent/event-configs/resolve,REST,200,Resolve config đang active cho một event+environment,W5-ADM-10,EventConfigResolveTester,UI_READ,useResolveConfigAngActiveChoMQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-067,MAPPED,—
68,AI Agent Admin,Event Configurations,GET,/api/ai-agent/event-configs/{id},REST,200,Chi tiết,W5-ADM-10,EventConfigurationPage / EventConfigEditor,UI_READ,useChiTiTQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-068,MAPPED,—
69,AI Agent Admin,Event Configurations,GET,/api/ai-agent/event-configs,REST,200,Tìm kiếm (paginated),W5-ADM-10,EventConfigurationPage / EventConfigEditor,UI_READ,useTMKiMPaginatedQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-069,MAPPED,—
70,AI Agent Admin,Event Configurations,PATCH,/api/ai-agent/event-configs/{id}/activate,REST,200,Activate,W5-ADM-10,EventConfigurationPage / EventConfigEditor,UI_ACTION,useActivateMutation,AI_AGENT_CONFIG_MANAGE,event configs list/detail/resolve/options,YES,E2E-W5-API-070,MAPPED,—
71,AI Agent Admin,Event Configurations,PATCH,/api/ai-agent/event-configs/{id}/deactivate,REST,200,Deactivate,W5-ADM-10,EventConfigurationPage / EventConfigEditor,UI_ACTION,useDeactivateMutation,AI_AGENT_CONFIG_MANAGE,event configs list/detail/resolve/options,YES,E2E-W5-API-071,MAPPED,—
72,AI Agent Admin,Usage Policies,POST,/api/ai-agent/usage-policies,REST,201,Tạo usage policy,W5-ADM-11,UsagePolicyPage / UsagePolicyEditor,UI_ACTION,useTOUsagePolicyMutation,AI_AGENT_CONFIG_MANAGE,usage policies list/detail,YES,E2E-W5-API-072,MAPPED,—
73,AI Agent Admin,Usage Policies,PUT,/api/ai-agent/usage-policies/{id},REST,200,Cập nhật,W5-ADM-11,UsagePolicyPage / UsagePolicyEditor,UI_ACTION,useCPNhTMutation,AI_AGENT_CONFIG_MANAGE,usage policies list/detail,YES,E2E-W5-API-073,MAPPED,—
74,AI Agent Admin,Usage Policies,GET,/api/ai-agent/usage-policies/{id},REST,200,Chi tiết,W5-ADM-11,UsagePolicyPage / UsagePolicyEditor,UI_READ,useChiTiTQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-074,MAPPED,—
75,AI Agent Admin,Usage Policies,GET,/api/ai-agent/usage-policies,REST,200,Tìm kiếm (paginated),W5-ADM-11,UsagePolicyPage / UsagePolicyEditor,UI_READ,useTMKiMPaginatedQuery,AI_AGENT_CONFIG_VIEW,None,YES,E2E-W5-API-075,MAPPED,—
76,AI Agent Admin,Usage Policies,PATCH,/api/ai-agent/usage-policies/{id}/activate,REST,200,Activate,W5-ADM-11,UsagePolicyPage / UsagePolicyEditor,UI_ACTION,useActivateMutation,AI_AGENT_CONFIG_MANAGE,usage policies list/detail,YES,E2E-W5-API-076,MAPPED,—
77,AI Agent Admin,Usage Policies,PATCH,/api/ai-agent/usage-policies/{id}/deactivate,REST,200,Deactivate,W5-ADM-11,UsagePolicyPage / UsagePolicyEditor,UI_ACTION,useDeactivateMutation,AI_AGENT_CONFIG_MANAGE,usage policies list/detail,YES,E2E-W5-API-077,MAPPED,—
78,AI Agent Admin,Executions,POST,/api/ai-agent/executions/event,REST,200,"Trigger bằng event (eventDefinitionId, eventCode, hoặc sourceSystem+eventKey)",W5-ADM-12 / W5-ADM-14,ManualEventExecutionDialog,UI_ACTION,useTriggerBNgEventEventDefinitionIdEventCodeMutation,AI_EXECUTION_RUN,"execution logs, execution result",YES,E2E-W5-API-078,MAPPED,—
79,AI Agent Admin,Executions,POST,/api/ai-agent/executions/event-config/{eventConfigId},REST,200,Trigger bằng EventConfig ID trực tiếp,W5-ADM-12 / W5-ADM-14,RunEventConfigDialog,UI_ACTION,useTriggerBNgEventConfigIDTrMutation,AI_EXECUTION_RUN,"execution logs, execution result",YES,E2E-W5-API-079,MAPPED,—
80,AI Agent Admin,Execution Logs,POST,/api/ai-agent/execution-logs,REST,201,Tạo execution log (thường dùng internally),W5-ADM-12 / W5-ADM-13,ExecutionWorkerStatusProjection,SERVICE_ORCHESTRATED,useTOExecutionLogThNgMutation,SERVICE_IDENTITY_ONLY,execution logs/detail/status counters,YES,E2E-W5-API-080,SERVICE_ORCHESTRATED — TEST REQUIRED,Browser must not call internal execution-log transition endpoint.
81,AI Agent Admin,Execution Logs,PATCH,/api/ai-agent/execution-logs/{id}/running,REST,200,Mark as running,W5-ADM-12 / W5-ADM-13,ExecutionWorkerStatusProjection,SERVICE_ORCHESTRATED,useMarkAsRunningMutation,SERVICE_IDENTITY_ONLY,execution logs/detail/status counters,YES,E2E-W5-API-081,SERVICE_ORCHESTRATED — TEST REQUIRED,Browser must not call internal execution-log transition endpoint.
82,AI Agent Admin,Execution Logs,PATCH,/api/ai-agent/execution-logs/{id}/succeeded,REST,200,Mark as succeeded (với token count + cost),W5-ADM-12 / W5-ADM-13,ExecutionWorkerStatusProjection,SERVICE_ORCHESTRATED,useMarkAsSucceededVITokenMutation,SERVICE_IDENTITY_ONLY,execution logs/detail/status counters,YES,E2E-W5-API-082,SERVICE_ORCHESTRATED — TEST REQUIRED,Browser must not call internal execution-log transition endpoint.
83,AI Agent Admin,Execution Logs,PATCH,/api/ai-agent/execution-logs/{id}/failed,REST,200,Mark as failed (với error info),W5-ADM-12 / W5-ADM-13,ExecutionWorkerStatusProjection,SERVICE_ORCHESTRATED,useMarkAsFailedVIErrorMutation,SERVICE_IDENTITY_ONLY,execution logs/detail/status counters,YES,E2E-W5-API-083,SERVICE_ORCHESTRATED — TEST REQUIRED,Browser must not call internal execution-log transition endpoint.
84,AI Agent Admin,Execution Logs,PATCH,/api/ai-agent/execution-logs/{id}/cancel,REST,200,Cancel,W5-ADM-12 / W5-ADM-13,ExecutionWorkerStatusProjection,SERVICE_ORCHESTRATED,useCancelMutation,SERVICE_IDENTITY_ONLY,execution logs/detail/status counters,YES,E2E-W5-API-084,SERVICE_ORCHESTRATED — TEST REQUIRED,Browser must not call internal execution-log transition endpoint.
85,AI Agent Admin,Execution Logs,GET,/api/ai-agent/execution-logs/{id},REST,200,Chi tiết log,W5-ADM-12 / W5-ADM-13,ExecutionDetailPage,UI_READ,useChiTiTLogQuery,AI_EXECUTION_LOG_VIEW,None,YES,E2E-W5-API-085,MAPPED,—
86,AI Agent Admin,Execution Logs,GET,/api/ai-agent/execution-logs,REST,200,Tìm kiếm logs (paginated),W5-ADM-12 / W5-ADM-13,ExecutionLogTable,UI_READ,useTMKiMLogsPaginatedQuery,AI_EXECUTION_LOG_VIEW,None,YES,E2E-W5-API-086,MAPPED,—
87,AI Agent Admin,Playground,POST,/api/ai-agent/playground/event-config/{eventConfigId}/run,REST,200,Chạy thử một EventConfig với input variables,W5-ADM-14,EventConfigPlaygroundRunner,UI_ACTION,useChYThMTEventConfigMutation,AI_PLAYGROUND_USE,playground result/history,YES,E2E-W5-API-087,MAPPED,—
